nom,ville
Mosqu?e des Oulad El-Imam Mon deCulte/ Islam (Tlemcen) ,Tlemcen
Ancienne Mosqu?e de Sidi-El Ghali (rue Lamorci?re) Mon deCulte/ Islam (Tlemcen) ,Tlemcen
Marabout de Sidi Brahim Mon Fun/Islam (Tlemcen) ,Tlemcen
Marabout de Sidi-El Wahab Mon Fun/Islam (Tlemcen) ,Tlemcen
Kobba dite du Khalifat cimeti?re de Sidi-Yakoub Mon Fun/Islam (Tlemcen) ,Tlemcen
Kobba de Sidi El Daoudi Mon Fun/Islam (Tlemcen) ,Tlemcen
Agadir (site) Site/Med (Tlemcen) ,Tlemcen
Mosqu?e et Miraret de Mansourah et d?pendances Mon.et El?m. culte/Med (Mansourah) ,Tlemcen
Mosqu?e Sidi El Haloui et d?pendances Mon. et El?m culte//Med (Mansourah) ,Tlemcen
Tombeaux dits de la sultane au cimeti?re de Sidi Yakoub Mon.Fun./Med (Mansourah) ,Tlemcen
Petit palais des sultanes ? El- Obbad ? El fouqui Mon. R?sidence/Med (Mansourah) ,Tlemcen
Magasin et agence des monuments historiques Mon.Hist-d?p?ts/Med (Mansourah) ,Tlemcen
Enceinte en pise de Mansourah et ruines de la Macalla Fortif./Med (Mansourah) ,Tlemcen
"Porte de Mansourah, fragments divers de l'?poque arabe au mus?e de la mairie ",Tlemcen
Mon.d'Acc?s/Med (Mansourah) ,Tlemcen
Colonnes provenant de la mosqu?e de Mansourah El?ments d'architecture/Med. (Mansourah) ,Tlemcen
Tour et ruines de la porte de Sidi El Daoudi sur le front Est. Mon.Surveillance et ruines/Med (Mansourah) ,Tlemcen
Porte dite ? Bab el Khemis entre Tlemcen et Mansourah Mon.d'Acc?s/Med. (Tlemcen) ,Tlemcen
Reste de fortification Bordjs et autres ouvrages d?pendant des fronts Sud et Ouest ,Tlemcen
Fortifications/Med (Mansourah) ,Tlemcen
El Mechouar Fortif./Med (Tlemcen) ,Tlemcen
Mausol?e de Sidi el Habbek Mon.Fun./Islam. (Tlemcen) ,Tlemcen
Sahridj M'badda Ouvrage Hydraulique/Islam. (Tlemcen) ,Tlemcen
Porte de Bab El Kermadine sur le front Nord-Ouest et improprement appel?e ? Bab El Toi ? ,Tlemcen
Mon.d'Acc?s/Med (Tlemcen) ,Tlemcen
Minaret d'Agadir El?m. de Mon. de culte/Med (Tlemcen) ,Tlemcen
Mosqu?e de Sidi Brahim El Masmoudi Mon.de Culte (Tlemcen) ,Tlemcen
Kobba de Sidi Abdallah Ben Mansour et de Sidi Ben Ali ? Ain El Hout Mon. Fun./Med. . (Tlemcen) ,Tlemcen
Djeddars Mon.Fun./Ant. (Frenda) ,Tiaret
Bled Touta Lakania et grottes se rapportant ? la tradition de l'historien Ibn Khaldoun Site Naturel (Frenda) ,Tiaret
Dolmens Mon.Fun./Pr?-.Hist (Tiaret) ,Tiaret
Site de Tahert Tagdemt Site. Cap./Med. (Tagdemt) ,Tiaret
